StudentID,FirstName,LastName,GradeLevel,Email,GuardianEmail1,GuardianEmail2,isArchived,isDeleted
1,Evelyn,Torgenson,1,evelynt+student+academy@chalk.com,evelynt+guardian+academy@chalk.com,null,null,null
2,Joseph,Sturdevant,1,josephs+student+academy@chalk.com,josephs+guardian+academy@chalk.com,null,null,null
3,Scotty,Busch,1,scottyb+student+academy@chalk.com,scottyb+guardian+academy@chalk.com,nickyb+guardian+academy@chalk.com,null,null
4,Nicky,Busch,1,nickyb+student+academy@chalk.com,nickyb+guardian+academy@chalk.com,scottyb+guardian+academy@chalk.com,null,null
5,Hilma,Habbard,1,hilmah+student+academy@chalk.com,hilmah+guardian+academy@chalk.com,null,null,null
6,Avis,Faulcon,2,avisf+student+academy@chalk.com,avisf+guardian+academy@chalk.com,null,null,null
7,Marybeth,Bolduc,2,marybethb+student+academy@chalk.com,null,null,null,null
8,Scarlet,Alt,2,scarleta+student+academy@chalk.com,scarleta+guardian+academy@chalk.com,null,null,null
9,Rheba,Loftin,2,rhebal+student+academy@chalk.com,null,null,null,null
10,Marvel,Alexander,2,marvela+student+academy@chalk.com,null,null,null,null
11,Terri,Robeson,2,terrir+student+academy@chalk.com,terrir+guardian+academy@chalk.com,null,null,null
12,Titus,Seese,3,tituss+student+academy@chalk.com,tituss+guardian+academy@chalk.com,null,null,null
13,Dionne,Heron,3,dionneh+student+academy@chalk.com,dionneh+guardian+academy@chalk.com,dionneh2+guardian+academy@chalk.com,null,null
14,Tanna,Weisberg,3,tannaw+student+academy@chalk.com,tannaw+guardian+academy@chalk.com,null,null,null
15,Ethel,Kleckner,3,ethelk+student+academy@chalk.com,null,null,null,null
16,Lorenza,Waggener,3,lorenzaw+student+academy@chalk.com,lorenzaw+guardian+academy@chalk.com,null,null,null
17,Nannie,Stupka,4,nannies+student+academy@chalk.com,nannies+guardian+academy@chalk.com,null,null,null
18,Emile,Rincon,4,emiler+student+academy@chalk.com,null,null,null,null
19,Zeneida,Hotard,4,zeneidah+student+academy@chalk.com,zeneidah+guardian+academy@chalk.com,null,null,null
20,Lenora,Speights,4,lenoras+student+academy@chalk.com,lenoras+guardian+academy@chalk.com,null,null,null
